nonce,value
1592410447,465.01
1592425680,30174.0
1592425951,14656.0
1592426007,12932.0
1592426033,34485.0
1592426045,34485.0
1592426089,30174.0
1592426101,30174.0
1592426197,14656.0
1592426209,24139.0
1592426241,24139.0
1592426258,30174.0
1592426262,30174.0
1592426282,30174.0
1592426306,4286.0
1592444374,5173.0
1592445585,7759.0
1592461714,2300.0
1592461986,2300.0
1592469489,100.0
1592472981,78.44
1592476721,100.0
1592483689,500.0
1592484151,500.0
1592485365,500.0
1592485620,500.0
1592486390,185.76
1592486708,1000.0
1592486973,1000.0
1592487969,1000.0
1592488226,1000.0
1592489900,14942.0
1592490196,14942.0
1592494799,36.9
1592496007,1000.0
1592496245,1000.0
1592497073,900.0
1592497320,900.0
1592498960,2500.0
1592499781,2500.0
1592502678,988.39
1592510365,11754.78
1592512115,30174.0
1592542549,2.0
1592544564,1.0
1592546202,1000.0
1592546468,1000.0
1592549142,26.26
1592549560,2.0
1592549810,30170.0
1592551123,1.0
1592552652,30171.0
1592552753,15827.03
1592554267,30867.06
1592554666,1.0
1592555791,30000.0
1592556253,11754.78
1592556327,5157.0
1592556572,11754.78
1592557237,866.0
1592557451,866.0
1592561926,1000.0
1592562269,1000.0
1592562787,4.0
1592563031,1622.34
1592563109,6123.0
1592563468,6123.0
1592567450,1000.0
1592567824,1000.0
1592569194,1000.0
1592569539,60.94
1592569541,1000.0
1592570775,32.0
1592572125,10.0
1592572387,1000.0
1592572670,1000.0
1592574975,16.06
1592578392,215.0
1592582027,1.0
1592586717,59995.73
1592597685,173.65
1592603738,13951.75
1592611762,5156.0
1592620635,17189.0
1592621247,6876.0
1592641926,11750.77
1592653376,488.64
1592657874,1115.29
1592659100,1603.93
1592659796,15470.0
1592660144,10000.0
1592660550,10000.0
1592665652,100.0
1592666599,5495.67
1592666973,3000.0
1592667831,3000.0
1592668460,448.85
1592683850,11750.77
1592686978,1000.0
1592687279,1000.0
1592689812,7500.0
1592690194,7500.0
1592702444,1087.98
1592714749,14.0
1592722858,3019.55
1592730259,19996.12
1592744549,5000.0
1592744775,5000.0
1592748683,718.0
1592748725,1438.23
1592749043,1438.23
1592758907,2547.59
1592759110,2547.59
1592759431,2547.59
1592762784,5000.0
1592763020,5000.0
1592763791,8429.59
1592763926,8429.59
1592766430,10000.0
1592766690,10000.0
1592776509,827.0
1592777150,202.7
1592783920,10000.0
1592784218,10000.0
1592792138,2170.0
1592796819,17099.96
1592797606,21996.8
1592798826,20000.0
1592799081,20000.0
1592808158,17099.96
1592815357,174.0
1592815953,9806.5
1592817839,30000.0
1592818245,30000.0
1592818385,2914.89
1592820509,50000.0
1592821431,62135.27
1592821435,0.22
1592822801,450.98
1592826406,450.98
1592826843,450.98
1592827760,1000.0
1592827933,1000.0
1592828585,20000.0
1592828827,20000.0
1592831881,15000.0
1592832180,15000.0
1592833627,1453.58
1592839777,2424.07
1592844962,15.14
1592853776,348.33
1592856796,20000.0
1592857119,20000.0
1592858039,5000.0
1592864229,1067.52
1592864643,806.38
1592875553,830.49
1592877927,489.91
1592887753,69996.41
1592909153,20000.0
1592910089,43.0
1592910773,43.0
1592914767,1647.79
1592914880,15000.0
1592915149,15000.0
1592920481,4781.4
1592921846,20000.0
1592922152,20000.0
1592927185,305.33
1592927467,305.33
1592941975,15000.0
1592942228,10.0
1592946622,8990.0
1592946812,258.43
1592952551,398.42
1592965676,15827.03
1592965952,15827.03
1592972252,2417.02
1592972660,2417.02
1592978134,4519.02
1592980390,23180.0
1592981080,23000.0
1592982549,2259.97
1592982643,10.0
1592982876,2259.97
1592983233,2914.89
1592983304,4437.03
1592983697,2914.89
1592983904,4437.03
1592989812,10.0
1592990753,100.0
1592992289,0.0
1592992556,14241.42
1592992642,1647.79
1592994208,3770.56
1592996122,830.25
1592997895,1060.62
1592998034,3770.56
1592998998,332.51
1593004050,20.0
1593004333,20.0
1593004904,2439.21
1593005040,2176.67
1593005532,2176.67
1593006266,15000.0
1593007573,10000.0
1593007846,10000.0
1593010152,50000.0
1593014696,0.0
1593015080,0.0
1593016033,15174.0
1593016278,0.0
1593016979,69995.33
1593018370,4.67
1593018709,0.0
1593019691,7995.33
1593019905,854.52
1593030632,950.66
1593032836,950.66
1593034863,0.0
1593036936,148.24
1593037134,542.0
1593037788,830.25
1593041373,94.82
1593047931,465.15
1593048470,2014.58
1593048514,465.15
1593048923,2046.46
1593049149,2046.46
1593049516,5.96
1593049524,900.96
1593049619,900.96
1593049892,10565.96
1593049948,1270.0
1593050029,1280.0
1593050111,8223.43
1593050145,10571.92
1593050356,8223.43
1593053632,50209.89
1593053702,15000.0
1593053709,3269.23
1593053993,15000.0
1593058296,502.68
1593058468,502.68
1593059159,2547.51
1593061132,383.38
1593062609,20000.0
1593062894,20000.0
1593066373,4336.25
1593070542,4728.71
1593076628,55.0
1593077124,4728.71
1593077303,100.0
1593077396,55.0
1593077575,472.0
1593077811,472.0
1593077832,120.0
1593077851,100.0
1593078215,100.0
1593078582,120.0
1593078763,3303.32
1593079124,3303.32
1593079585,2212.54
1593080043,2212.54
1593080486,4256.71
1593080670,4256.71
1593081154,427.01
1593082804,49.54
1593083220,1493.97
1593084291,23000.0
1593085748,126.99
1593086351,703.86
1593086653,1000.0
1593086659,1150.19
1593086860,1000.0
1593087955,2988.39
1593088033,861.52
1593088649,434.1
1593088765,509.98
1593089151,392.17
1593089158,459.75
1593089511,306.13
1593089539,306.13
1593090120,289.58
1593090567,996.22
1593090819,2891.22
1593092702,3141.9
1593092822,3141.9
1593095019,688.13
1593095401,2970.06
1593095805,2774.44
1593095943,2774.44
1593096190,90.58
1593097760,200.0
1593097954,200.0
1593098027,100.0
1593098774,200.0
1593098793,200.0
1593099075,198.4
1593099369,1520.99
1593100336,1520.99
1593100672,1508.21
1593100932,1508.21
1593102434,5707.45
1593102990,5707.45
1593103663,555.65
1593103779,3037.93
1593104604,395.26
1593105028,30000.0
1593105255,30000.0
1593107737,8854.52
1593108067,8854.52
1593121299,20000000.0
1593121971,30174.0
1593122277,111.22
1593122348,30174.0
1593127014,93.21
1593138704,100.37
1593138980,100.37
1593139929,623.68
1593140359,623.68
1593141239,400.0
1593141562,400.0
1593142109,20000.0
1593142143,40.75
1593142204,20000.0
1593142643,1000.0
1593142661,1000.0
1593143123,385.88
1593145852,15946.29
1593146047,15946.29
1593147337,145.07
1593150910,7.26
1593155344,424.04
1593155686,424.04
1593157572,400.37
1593157847,400.37
1593159279,150.0
1593160198,150.0
1593160389,172.17
1593160573,172.17
1593165553,1042.1
1593172006,20000.0
1593172414,20000.0
1593174432,247.61
1593174490,1911.5
1593174500,849.84
1593175032,215.37
1593175190,887.39
1593177978,111.22
1593178225,111.22
1593179355,10.0
1593180573,1569.7
1593186398,583.85
1593191782,2301.02
1593192239,2000000.0
1593192590,2301.02
1593194349,15000.0
1593194837,10000.0
1593195147,10000.0
1593195378,10000.0
1593195783,10000.0
1593195924,10000.0
1593196111,10000.0
1593196894,415.94
1593197039,10000.0
1593197154,10000.0
1593197157,415.94
1593197653,10000.0
1593197802,10000.0
1593198667,50.0
1593198879,357.0
1593199154,10000.0
1593200365,10000.0
1593200686,10000.0
1593200984,10000.0
1593201268,10000.0
1593201322,1000.0
1593201453,10000.0
1593201634,1000.0
1593202093,10000.0
1593202264,10000.0
1593202300,10000.0
1593202419,10000.0
1593202894,10000.0
1593203143,10000.0
1593203276,500.0
1593203346,10000.0
1593203492,500.0
1593203570,5000.0
1593203732,5000.0
1593203987,5000.0
1593204167,5000.0
1593204390,4500.0
1593204528,2000.0
1593204698,2000.0
1593204830,2000.0
1593205033,10000.0
1593205315,10000.0
1593205681,2000.0
1593205930,2000.0
1593206029,10000.0
1593206295,10000.0
1593206803,3088.99
1593206912,1500.0
1593206969,2000.0
1593207311,2000.0
1593208446,2624.99
1593208579,343.54
1593208632,5000.0
1593208991,2624.99
1593209146,343.54
1593209252,500.0
1593209521,500.0
1593209799,5000.0
1593212941,672.23
1593213198,2500.0
1593214568,10000.0
1593215029,2000.0
1593215324,630.5
1593215430,10000.0
1593216571,215.53
1593216873,215.53
1593216992,215.53
1593219163,1692.59
1593219452,1692.59
1593220940,5000.0
1593221097,1000.0
1593221165,1000.0
1593221243,1069.19
1593221415,1069.19
1593223016,1053.27
1593223106,1053.27
1593224661,100.5
1593225179,100.5
1593226595,1744.14
1593227928,2500.0
1593228229,2500.0
1593229126,1211.27
1593229175,1211.27
1593230243,51.99
1593231080,51.99
1593236282,4417.25
1593236606,4417.25
1593239697,1000.0
1593239789,1645.25
1593239965,1645.25
1593239996,1000.0
1593241816,25.44
1593242049,446.77
1593242095,25.44
1593242232,822.09
1593242351,582.33
1593242531,822.09
1593242625,582.33
1593242782,207.11
1593251766,400.0
1593251833,400.0
1593252518,3313.88
1593252693,3313.88
1593265316,864.86
1593266186,274.34
1593266674,111927.94
1593266732,207.91
1593269785,219.85
1593270298,350.0
1593270748,97.98
1593271911,1892.22
1593272470,50.37
1593272984,50.37
1593273081,50.23
1593273386,50.23
1593273745,114.1
1593274178,114.1
1593274580,128.92
1593275541,209.49
1593275792,237.42
1593276723,864.86
1593276753,667.83
1593277945,5082.33
1593278408,5082.33
1593281532,10000.0
1593281701,400.0
1593281725,10000.0
1593282125,400.0
1593283973,5615.22
1593283984,5615.22
1593285280,7451.09
1593296982,6275.04
1593297081,6275.04
1593299811,207.91
1593303518,20000.0
1593303784,20000.0
1593306498,7130.24
1593306541,7130.24
1593308180,276.48
1593308989,648.15
1593310998,222.0
1593311232,391.01
1593311387,391.01
1593312197,222.0
1593313832,49995.24
1593313965,49995.24
1593318919,13.24
1593320280,126.24
1593320643,10000.0
1593320981,75.24
1593321657,333.67
1593324064,1296.0
1593324169,207.91
1593324302,1296.0
1593324567,207.91
1593324837,207.91
1593326433,195.63
1593326984,3936.73
1593330506,1296.0
1593330810,1296.0
1593331499,222.95
1593333012,369.11
1593333302,369.11
1593334589,54.36
1593335126,1335.19
1593335190,374.46
1593335295,1335.19
1593338214,188.17
1593339266,1830.78
1593339333,602.09
1593339477,602.09
1593340572,54.36
1593343326,428.44
1593344705,374.46
1593345120,476.03
1593346296,2000.0
1593346900,2000.0
1593347412,95.74
1593348088,8890.74
1593350401,1000.0
1593350678,1000.0
1593353212,9000.0
1593353490,9000.0
1593356413,250.46
1593356525,250.46
1593356721,100.04
1593359831,90.17
1593360156,3099.41
1593360206,90.17
1593360339,3099.41
1593362124,163.41
1593362594,163.41
